
    1   1   2   0   19.406    1   1   3   0   70.000    1   1   4   0   52.836
    1   1   5   0   33.209    1   2   1   0    2.166    1   2   2   1  175.294
    1   2   3   0  179.501    1   2   4   1  121.217    1   2   5   0   77.877
    1   3   1   0   71.400    1   3   2   0  267.774    1   3   3   0  267.714
    1   3   4   0  210.773    1   3   5   0  157.445    1   4   1   0  279.472
    1   4   2   0  344.109    1   4   3   0  315.170    1   4   4   0  267.320
    1   4   5   0  176.503    2   1   2   1  174.418    2   1   3   2  521.768
    2   1   4   0  304.922    2   1   5   2  142.282    2   2   1   0    3.831
    2   2   2   1  528.066    2   2   3   4  497.481    2   2   4   2  279.542
    2   2   5   2   97.982    2   3   1   0   82.886    2   3   2   0  253.653
    2   3   3   0  206.343    2   3   4   2  111.541    2   3   5   0   45.434
    2   4   1   0 1021.139    2   4   2   1 1088.072    2   4   3   0  869.314
    2   4   4   3  585.779    2   4   5   0  250.398    3   1   2   3  116.939
    3   1   3   1  262.567    3   1   4   1  151.760    3   1   5   1   32.238
    3   2   1   0    3.824    3   2   2   3  330.710    3   2   3   2  265.273
    3   2   4   3   90.851    3   2   5   0   19.540    3   3   1   0   49.453
    3   3   2   2  169.654    3   3   3   1  111.962    3   3   4   0   55.060
    3   3   5   1    0.840    3   4   1   0  679.445    3   4   2   0  686.531
    3   4   3   1  458.838    3   4   4   1  183.701    3   4   5   0   42.665
    4   1   2   0   14.773    4   1   3   0   36.570    4   1   4   0   17.290
    4   2   1   0    3.176    4   2   2   2  164.801    4   2   3   5   56.130
    4   2   4   0    7.258    4   3   1   0   34.540    4   3   2   2  124.253
    4   3   3   1   68.881    4   3   4   0    4.382    4   4   1   1  354.720
    4   4   2   3  319.077    4   4   3   0  141.845    4   4   4   0   17.203

